data,Velocidade Média do Vento 10m,Precipitação Pluviométrica,Pressão Atmosférica,Direção do Vento 10m,Radiação,Temperatura do Ar a 2m,Umidade Relativa do Ar a 2m
2005-05-21 06:00:00,0.0,0.0,999.2,147.0,0.0,22.9,94.4
2005-05-21 09:00:00,0.0,0.0,1000.7,162.0,1.85,22.1,94.4
2005-05-21 12:00:00,2.0,0.0,1001.7,162.0,331.48,29.1,64.0
2005-05-21 15:00:00,3.0,0.0,999.9,108.0,698.15,32.6,51.2
2005-05-21 18:00:00,2.0,0.2,997.0,99.0,555.56,33.0,46.4
2005-05-21 21:00:00,3.0,10.0,999.1,69.0,151.85,25.0,81.6
2005-05-22 00:00:00,2.0,0.2,1000.9,48.0,0.0,24.6,83.2
2005-05-22 03:00:00,1.0,0.0,1000.8,48.0,0.0,24.3,91.2
2005-05-22 06:00:00,1.0,0.0,999.4,162.0,0.0,24.1,92.8
2005-05-22 09:00:00,1.0,0.0,1000.4,324.0,1.85,23.2,94.4
2005-05-22 12:00:00,2.0,0.0,1001.8,135.0,237.96,28.1,73.6
2005-05-22 15:00:00,2.0,0.0,997.0,93.0,626.85,31.7,54.4
2005-05-22 18:00:00,2.0,0.0,997.0,93.0,626.85,31.7,54.4
2005-05-22 21:00:00,2.0,0.0,998.9,39.0,168.52,28.3,72.0
2005-05-23 00:00:00,2.0,0.0,1001.3,99.0,0.0,25.4,83.2
2005-05-23 03:00:00,2.0,0.4,1001.1,162.0,0.0,23.4,92.8
2005-05-23 06:00:00,0.0,0.0,999.6,234.0,0.0,23.3,92.8
2005-05-23 09:00:00,0.0,0.0,1000.6,162.0,0.93,23.6,94.4
2005-05-23 12:00:00,2.0,0.0,1002.1,123.0,225.93,27.7,75.2
2005-05-23 15:00:00,4.0,7.6,1001.2,81.0,370.37,27.4,76.8
2005-05-23 18:00:00,3.0,0.0,998.9,84.0,542.59,28.8,67.2
2005-05-23 21:00:00,2.0,0.0,999.5,27.0,112.96,25.8,84.8
2005-05-24 00:00:00,0.0,0.0,1000.6,33.0,0.0,24.5,86.4
2005-05-24 03:00:00,0.0,0.0,1001.0,150.0,0.0,23.2,92.8
2005-05-24 06:00:00,0.0,0.0,999.8,171.0,0.0,22.7,94.4
2005-05-24 09:00:00,1.0,0.0,1000.6,159.0,1.85,22.2,94.4
2005-05-24 12:00:00,1.0,0.0,1001.8,159.0,310.19,28.3,67.2
2005-05-24 15:00:00,3.0,0.0,1000.4,126.0,590.74,30.5,60.8
2005-05-24 18:00:00,3.0,0.0,997.8,90.0,549.07,30.8,56.0
2005-05-24 21:00:00,3.0,0.0,1000.6,57.0,123.15,25.2,80.0
2005-05-25 00:00:00,1.0,0.2,1002.1,111.0,0.0,24.5,89.6
2005-05-25 03:00:00,0.0,0.0,1001.9,150.0,0.0,23.4,92.8
2005-05-25 06:00:00,0.0,0.0,1000.7,153.0,0.0,22.7,94.4
2005-05-25 09:00:00,1.0,0.0,1002.9,141.0,281.48,28.1,68.8
2005-05-25 12:00:00,1.0,0.0,1002.9,141.0,281.48,28.1,68.8
2005-05-25 15:00:00,3.0,0.0,1001.4,105.0,635.19,30.6,59.2
2005-05-25 18:00:00,3.0,0.0,999.2,102.0,554.63,32.0,52.8
2005-05-25 21:00:00,3.0,2.0,1000.7,54.0,125.93,24.8,83.2
2005-05-26 00:00:00,0.0,0.0,1002.6,129.0,0.0,24.9,86.4
2005-05-26 03:00:00,1.0,0.0,1002.3,150.0,0.0,23.5,92.8
2005-05-26 06:00:00,1.0,0.0,1001.5,150.0,0.0,22.4,92.8
2005-05-26 09:00:00,0.0,0.0,1003.1,180.0,1.85,22.1,94.4
2005-05-26 12:00:00,1.0,0.0,1004.4,147.0,327.78,28.5,68.8
2005-05-26 15:00:00,4.0,0.0,1003.5,111.0,718.52,32.1,52.8
2005-05-26 18:00:00,3.0,0.0,1000.7,111.0,600.0,32.6,46.4
2005-05-26 21:00:00,2.0,0.0,1001.9,63.0,167.59,26.7,80.0
2005-05-27 00:00:00,3.0,3.8,1004.0,63.0,0.0,24.5,91.2
2005-05-27 03:00:00,0.0,0.0,1003.4,114.0,0.0,23.9,92.8
2005-05-27 06:00:00,0.0,0.2,1002.4,162.0,0.0,23.1,92.8
2005-05-27 09:00:00,1.0,0.0,1003.0,159.0,1.85,22.6,94.4
2005-05-27 12:00:00,3.0,0.0,1003.6,150.0,345.37,28.3,70.4
2005-05-27 15:00:00,5.0,0.0,1001.9,141.0,767.59,31.3,56.0
2005-05-27 18:00:00,4.0,0.0,999.6,132.0,710.19,33.0,44.8
2005-05-27 21:00:00,2.0,0.0,1000.5,108.0,185.19,28.9,65.6
2005-05-28 00:00:00,3.0,0.0,1003.1,45.0,0.0,25.5,78.4
2005-05-28 03:00:00,0.0,0.0,1003.3,114.0,0.0,24.7,88.0
2005-05-28 06:00:00,1.0,0.0,1002.2,141.0,,22.8,92.8
2005-05-28 09:00:00,2.0,0.0,1002.6,159.0,1.85,22.5,89.6
2005-05-28 12:00:00,5.0,0.0,1001.3,144.0,734.26,31.5,51.2
2005-05-28 15:00:00,5.0,0.0,1001.3,144.0,734.26,31.5,51.2
2005-05-28 18:00:00,5.0,0.0,998.8,138.0,572.22,31.6,48.0
2005-05-28 21:00:00,3.0,0.0,999.3,135.0,135.19,29.2,62.4
2005-05-29 00:00:00,2.0,0.0,1001.7,30.0,0.0,25.9,80.0
2005-05-29 03:00:00,1.0,0.0,1001.4,141.0,0.0,23.9,89.6
2005-05-29 06:00:00,3.0,0.0,1000.9,147.0,0.0,25.2,70.4
2005-05-29 09:00:00,3.0,0.0,1001.7,153.0,0.93,23.2,80.0
2005-05-29 12:00:00,4.0,0.0,1002.4,150.0,329.63,28.3,56.0
2005-05-29 15:00:00,6.0,0.0,1000.9,141.0,787.04,30.9,46.4
2005-05-29 18:00:00,4.0,0.0,998.8,132.0,657.41,32.7,41.6
2005-05-29 21:00:00,2.0,0.0,999.8,132.0,178.7,29.2,52.8
2005-05-30 00:00:00,2.0,0.0,1001.7,21.0,0.0,26.1,80.0
2005-05-30 03:00:00,1.0,0.0,1001.4,303.0,0.0,25.2,84.8
2005-05-30 06:00:00,1.0,0.0,1000.7,150.0,0.0,24.8,89.6
2005-05-30 09:00:00,2.0,0.0,1002.4,120.0,0.93,23.2,89.6
2005-05-30 12:00:00,3.0,0.4,1003.3,150.0,255.56,27.4,70.4
2005-05-30 15:00:00,4.0,0.0,1001.8,126.0,648.15,31.4,52.8
2005-05-30 18:00:00,3.0,0.2,999.6,123.0,364.81,30.2,57.6
2005-05-30 21:00:00,3.0,3.4,1001.8,90.0,104.63,23.4,91.2
2005-05-31 00:00:00,2.0,0.2,1003.6,105.0,0.0,23.6,91.2
2005-05-31 03:00:00,1.0,0.0,1002.3,150.0,0.0,23.8,91.2
2005-05-31 06:00:00,1.0,0.0,1000.6,177.0,0.0,22.6,94.4
2005-05-31 09:00:00,1.0,0.0,1001.8,165.0,1.85,22.3,94.4
2005-05-31 12:00:00,3.0,0.0,1002.7,162.0,310.19,27.2,67.2
2005-05-31 15:00:00,5.0,0.0,1001.3,147.0,682.41,30.0,52.8
2005-05-31 18:00:00,4.0,0.0,999.3,150.0,499.07,31.0,49.6
2005-05-31 21:00:00,2.0,0.0,1000.3,147.0,181.48,28.7,64.0
2005-06-01 00:00:00,1.0,0.0,1002.3,90.0,0.0,24.1,86.4
2005-06-01 03:00:00,1.0,0.0,1002.3,90.0,0.0,24.1,86.4
2005-06-01 06:00:00,1.0,0.0,1000.9,126.0,0.0,22.9,91.2
2005-06-01 09:00:00,1.0,0.0,1001.8,165.0,3.7,22.1,94.4
2005-06-01 12:00:00,2.0,0.0,1003.3,147.0,222.22,26.7,76.8
2005-06-01 15:00:00,4.0,0.0,1000.8,150.0,539.81,29.4,62.4
2005-06-01 18:00:00,4.0,0.4,998.8,135.0,470.37,30.2,64.0
